一	いち	/(num) one/(P)/	ichi
一つ	ひとつ	/(n) one/(P)/	hitotsu
一人	ひとり	/(n) one person/(P)/	hitori
一日	いちにち	/(n) (1) first of month/(P)/	ichinichi
一日	ついたち	/(n) (1) first of month/(P)/	tsuitachi
一月	ひとつき	/one month/(P)/	hitotsuki
一緒	いっしょ	/(adv,n) together/meeting/company/(P)/	itsusho
七	しち	/(num) seven/(P)/	shichi
七つ	ななつ	/(n) seven/(P)/	nanatsu
七日	なのか	/(n-adv) seven days/the seventh day (of the month)/(P)/	nanoka
万	まん	/(adv,num) 10,000/ten thousand/myriads/all/everything/	man
万年筆	まんねんひつ	/(n) fountain pen/(P)/	mannenhitsu
丈夫	じょうぶ	/(adj-na,n) (1) hero/gentleman/warrior/manly person/(2) good health/robustness/strong/solid/durable/	jiyoubu
三	さん	/(num) three/(P)/	san
三つ	みっつ	/(n) three/(P)/	mittsu
三日	みっか	/(n) three days/the third day (of the month)/(P)/	mikka
上	うえ	/(gno-adj,gn-adv,gn,gn-suf) above/over/on top of/up/	ue
上げる	あげる	/(v1) to give/to raise/to elevate/to fly (kites)/to praise/to increase/to advance/to promote/to vomit/to usher in/to admit/to send (to school)/to offer/to present/to leave with/to finish/to arrange (expenses)/to observe/to perform/to quote/to mention/to bear (a child)/to improve (talents)/to do up (the hair)/to arrest/to engage/to fry/(rains) to stop/(P)/	ageru
上手	じょうず	/(adj-na,n) skill/skillful/dexterity/(P)/	jiyouzu
上着	うわぎ	/(n) coat/tunic/jacket/outer garment/(P)/	uwagi
下	した	/(n) under/below/beneath/(P)/	shita
下手	へた	/(adj-na,n) unskillful/poor/awkward/(P)/	heta
両親	りょうしん	/(n) parents/both parents/(P)/	ryoushin
並ぶ	ならぶ	/(v5b,vi) to line up/to stand in a line/(P)/	narabu
並べる	ならべる	/(v1,vt) to line up/to set up/(P)/	naraberu
中	なか	/(n) inside/middle/among/(P)/	naka
丸い	まるい	/(adj) round/circular/spherical/(P)/	marui
乗る	のる	/(v5r) (1) to get on/to ride in/to board/to mount/to get up on/to spread (paints)/to be taken in/(2) to share in/to join/to be found in (a dictionary)/to feel like doing/to be mentioned in/to be in harmony with/(P)/	noru
九	きゅう	/(num) nine/(P)/	kyuu
九つ	ここのつ	/(n) nine/(P)/	kokonotsu
九日	ここのか	/nine days/the ninth day (of the month)/(P)/	kokonoka
